file_path,class_name,class_id,parent_folder,subclass,split
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_early\all_early_0017.jpg,Leukemia,0,ALL,all_early,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0038.jpg,Leukemia,0,ALL,all_pro,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0002.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0044.jpg,Leukemia,0,ALL,all_pro,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0012.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0022.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0014.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0003.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_early\all_early_0015.jpg,Leukemia,0,ALL,all_early,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0045.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0037.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0021.jpg,Leukemia,0,ALL,all_pro,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0029.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_early\all_early_0027.jpg,Leukemia,0,ALL,all_early,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0009.jpg,Leukemia,0,ALL,all_pro,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0018.jpg,Leukemia,0,ALL,all_pro,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0046.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pre\all_pre_0031.jpg,Leukemia,0,ALL,all_pre,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0031.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_benign\all_benign_0004.jpg,Leukemia,0,ALL,all_benign,train
c:\IBM Quantathon\Dataset\Multi Cancer\ALL\all_pro\all_pro_0010.jpg,Leukemia,0,ALL,all_pro,train
